40 100
1 2 7
1 3 5
1 4 9
1 5 6
2 3 3
2 6 2
2 7 4
3 4 8
3 8 1
4 5 7
4 9 5
5 6 4
5 10 2
6 7 8
6 11 3
7 8 6
7 12 9
8 9 1
8 13 7
9 10 5
9 14 4
10 11 2
10 15 6
11 12 8
11 16 1
12 13 3
12 17 7
13 14 9
13 18 4
14 15 6
14 19 2
15 16 5
15 20 1
16 17 3
16 21 7
17 18 8
17 22 4
18 19 6
18 23 9
19 20 2
19 24 5
20 21 1
20 25 3
21 22 7
21 26 4
22 23 8
22 27 6
23 24 9
23 28 2
24 25 3
24 29 5
25 26 1
25 30 7
26 27 2
26 31 4
27 28 8
27 32 6
28 29 9
28 33 3
29 30 1
29 34 5
30 31 2
30 35 6
31 32 7
31 36 8
32 33 4
32 37 1
33 34 9
33 38 3
34 35 6
34 39 5
35 36 2
35 40 1
36 37 4
36 38 9
37 38 7
37 39 8
38 39 3
38 40 6
39 40 2
