,Problem,,,Constructive Algorithm,,,Local search,,,,,,GRASP,,,Upper Bound 
Name,|V|,|E|,Randomized,Greedy,Semi-Greedy,Local-1(random),,Local-2(greedy),,Local-3(alpha=0.7),, GRASP-1(greedy max_it=3),,GRASP-2(alpha=0.6 max_it=50) , 
,,,,,, Iteration, Best Value, Iteration, Best value,Iteration, Best value,Iteration, Best value,Iteration, Best value,
G1,800,19176,11032,11268,11108,168,11316,60,11417,82,11382,286,11421,4572,11466,11466
G2,800,19176,11091,11292,11203,154,11344,61,11365,121,11426,282,11454,4097,11463,11463
G3,800,19176,11049,11295,11229,148,11316,108,11447,121,11388,281,11418,4404,11469,11469
G4,800,19176,10974,11231,11199,167,11391,69,11400,113,11421,261,11456,4726,11489,11489
G5,800,19176,11070,11264,11277,166,11400,64,11407,138,11426,258,11378,4101,11468,11468
G6,800,19176,1501,1744,1722,174,1851,121,1910,111,1924,334,1951,5322,2009,2009
G7,800,19176,1413,1601,1502,154,1708,83,1797,131,1721,324,1780,5216,1854,1854
G8,800,19176,1410,1609,1585,195,1736,92,1801,158,1787,274,1808,4969,1868,1868
G9,800,19176,1471,1631,1515,180,1783,92,1807,120,1800,334,1925,5100,1904,1925
G10,800,19176,1247,1599,1561,146,1746,87,1759,123,1809,270,1785,5033,1841,1841
G11,800,1600,390,480,428,11,426,6,480,19,470,10,478,392,494,494
G12,800,1600,406,474,434,10,418,7,494,7,452,21,470,407,482,494
G13,800,1600,434,510,470,17,460,3,508,10,472,19,500,422,506,510
G14,800,4694,2865,2949,2944,42,2921,21,2968,24,2973,70,2973,1210,2988,2988
G15,800,4661,2842,2915,2918,52,2921,18,2932,15,2944,57,2956,1248,2976,2976
G16,800,4672,2855,2914,2923,60,2917,29,2955,24,2960,70,2967,1246,2980,2980
G17,800,4667,2875,2925,2917,46,2933,22,2948,21,2947,63,2948,1263,2972,2972
G18,800,4694,700,816,744,70,782,51,866,64,840,135,859,2169,911,911
G19,800,4661,587,724,668,89,778,20,798,48,784,123,789,2073,824,824
G20,800,4672,628,796,751,64,755,43,797,53,748,117,828,2082,858,858
G21,800,4667,622,748,716,119,813,40,824,38,766,119,797,2168,849,849
